no,n_estimators,max_depth,eta,subsample,colsample_bytree,MSE,R
267,100,1,0.2,0.6,0.6,67.74277376,0.229632596
268,100,1,0.2,0.6,0.7,67.74277376,0.229632596
269,100,1,0.2,0.6,0.8,68.08602987,0.226069774
270,100,1,0.2,0.6,0.9,68.08602987,0.226069774
271,100,1,0.2,0.7,0,60.30957732,0.347276119
272,100,1,0.2,0.7,0.1,60.30957732,0.347276119
273,100,1,0.2,0.7,0.2,60.30957732,0.347276119
274,100,1,0.2,0.7,0.3,60.30957732,0.347276119
275,100,1,0.2,0.7,0.4,63.38423657,0.308797074
276,100,1,0.2,0.7,0.5,63.38423657,0.308797074
277,100,1,0.2,0.7,0.6,66.298448,0.263024949
278,100,1,0.2,0.7,0.7,66.298448,0.263024949
279,100,1,0.2,0.7,0.8,64.20717778,0.306120259
280,100,1,0.2,0.7,0.9,64.20717778,0.306120259
281,100,1,0.2,0.8,0,63.81193745,0.295689362
282,100,1,0.2,0.8,0.1,63.81193745,0.295689362
283,100,1,0.2,0.8,0.2,63.81193745,0.295689362
284,100,1,0.2,0.8,0.3,63.81193745,0.295689362
285,100,1,0.2,0.8,0.4,66.35907582,0.26399443
286,100,1,0.2,0.8,0.5,66.35907582,0.26399443
287,100,1,0.2,0.8,0.6,57.68870567,0.38681236
288,100,1,0.2,0.8,0.7,57.68870567,0.38681236
289,100,1,0.2,0.8,0.8,63.22472288,0.332258826
290,100,1,0.2,0.8,0.9,63.22472288,0.332258826
291,100,1,0.2,0.9,0,64.72979833,0.323262733
292,100,1,0.2,0.9,0.1,64.72979833,0.323262733
293,100,1,0.2,0.9,0.2,64.72979833,0.323262733
294,100,1,0.2,0.9,0.3,64.72979833,0.323262733
295,100,1,0.2,0.9,0.4,69.14424732,0.246868569
296,100,1,0.2,0.9,0.5,69.14424732,0.246868569
297,100,1,0.2,0.9,0.6,69.38837331,0.237078633
298,100,1,0.2,0.9,0.7,69.38837331,0.237078633
299,100,1,0.2,0.9,0.8,62.91766324,0.328892488
300,100,1,0.2,0.9,0.9,62.91766324,0.328892488
301,100,1,0.3,0,0,68.77345456,nan
302,100,1,0.3,0,0.1,68.77345456,nan
303,100,1,0.3,0,0.2,68.77345456,nan
304,100,1,0.3,0,0.3,68.77345456,nan
305,100,1,0.3,0,0.4,68.77345456,nan
306,100,1,0.3,0,0.5,68.77345456,nan
307,100,1,0.3,0,0.6,68.77345456,nan
308,100,1,0.3,0,0.7,68.77345456,nan
309,100,1,0.3,0,0.8,68.77345456,nan
310,100,1,0.3,0,0.9,68.77345456,nan
311,100,1,0.3,0.1,0,61.08035439,0.356491549
312,100,1,0.3,0.1,0.1,61.08035439,0.356491549
313,100,1,0.3,0.1,0.2,61.08035439,0.356491549
314,100,1,0.3,0.1,0.3,61.08035439,0.356491549
315,100,1,0.3,0.1,0.4,64.70657415,0.389343096
316,100,1,0.3,0.1,0.5,64.70657415,0.389343096
317,100,1,0.3,0.1,0.6,100.1042945,-0.028015667
318,100,1,0.3,0.1,0.7,100.1042945,-0.028015667
319,100,1,0.3,0.1,0.8,96.92167239,0.125134669
320,100,1,0.3,0.1,0.9,96.92167239,0.125134669
321,100,1,0.3,0.2,0,79.1433843,-0.001334236
322,100,1,0.3,0.2,0.1,79.1433843,-0.001334236
323,100,1,0.3,0.2,0.2,79.1433843,-0.001334236
324,100,1,0.3,0.2,0.3,79.1433843,-0.001334236
325,100,1,0.3,0.2,0.4,119.6608471,-0.157050212
326,100,1,0.3,0.2,0.5,119.6608471,-0.157050212
327,100,1,0.3,0.2,0.6,157.1392115,-0.298354814
328,100,1,0.3,0.2,0.7,157.1392115,-0.298354814
329,100,1,0.3,0.2,0.8,99.12754114,-0.057896925
330,100,1,0.3,0.2,0.9,99.12754114,-0.057896925
331,100,1,0.3,0.3,0,76.1282382,0.095213788
332,100,1,0.3,0.3,0.1,76.1282382,0.095213788
333,100,1,0.3,0.3,0.2,76.1282382,0.095213788
334,100,1,0.3,0.3,0.3,76.1282382,0.095213788
335,100,1,0.3,0.3,0.4,92.05657367,0.072614781
336,100,1,0.3,0.3,0.5,92.05657367,0.072614781
337,100,1,0.3,0.3,0.6,121.8845265,-0.193632942
338,100,1,0.3,0.3,0.7,121.8845265,-0.193632942
339,100,1,0.3,0.3,0.8,104.7705398,-0.05488976
340,100,1,0.3,0.3,0.9,104.7705398,-0.05488976
341,100,1,0.3,0.4,0,50.10628354,0.483678966
