,n_iter,Number of Ants,alpha,beta,Evaporation rate,n_node,MSE,R
245,200,100,0.4,0.8,0.1,900,15.72012971,0.959684607
246,200,100,0.4,0.8,0.1,1000,15.3615661,0.960148866
247,200,100,0.4,0.8,0.2,500,13.70542699,0.959466333
248,200,100,0.4,0.8,0.2,600,12.16799217,0.962848797
249,200,100,0.4,0.8,0.2,700,15.05052456,0.959516517
250,200,100,0.4,0.8,0.2,800,12.93916601,0.959446154
251,200,100,0.4,0.8,0.2,900,12.76025183,0.962650458
252,200,100,0.4,0.8,0.2,1000,13.02063373,0.959127625
253,200,100,0.4,0.8,0.3,500,11.53142113,0.962888289
254,200,100,0.4,0.8,0.3,600,12.17755336,0.958677895
255,200,100,0.4,0.8,0.3,700,11.54515234,0.958850449
256,200,100,0.4,0.8,0.3,800,12.47863888,0.958820993
257,200,100,0.4,0.8,0.3,900,10.78524279,0.962084615
258,200,100,0.4,0.8,0.3,1000,12.04860074,0.962859375
259,200,100,0.4,0.8,0.4,500,10.37201711,0.957951135
260,200,100,0.4,0.8,0.4,600,10.219786,0.958238142
261,200,100,0.4,0.8,0.4,700,10.5510415,0.958361433
262,200,100,0.4,0.8,0.4,800,11.52088006,0.958467167
263,200,100,0.4,0.8,0.4,900,10.6286954,0.958430729
264,200,100,0.4,0.8,0.4,1000,10.6643228,0.95823007
265,200,100,0.4,0.8,0.5,500,8.559220783,0.961411014
266,200,100,0.4,0.8,0.5,600,8.731757964,0.960480837
267,200,100,0.4,0.8,0.5,700,9.196760066,0.965732269
268,200,100,0.4,0.8,0.5,800,8.596218936,0.960604939
269,200,100,0.4,0.8,0.5,900,8.628802954,0.961266758
270,200,100,0.4,0.8,0.5,1000,8.626001029,0.961641939
271,200,100,0.4,0.8,0.6,500,8.757079635,0.960172105
272,200,100,0.4,0.8,0.6,600,8.575658769,0.959274757
273,200,100,0.4,0.8,0.6,700,8.680089448,0.960427875
274,200,100,0.4,0.8,0.6,800,9.452133646,0.959001987
275,200,100,0.4,0.8,0.6,900,9.0328345,0.96052229
276,200,100,0.4,0.8,0.6,1000,9.757996995,0.964619591
277,200,100,0.4,0.8,0.7,500,9.798590497,0.959102937
