1,2,3,4,5,6,7,8,9,10,11,12,13,14
130,12,1000,0,1e-06,8,0.005,5e-05,5e-07,0.6,0.2,0.2,82.214,0.052106
131,12,1000,0,1e-06,8,0.005,5e-05,5e-07,0.7,0.15,0.15,132.71,-0.22221
132,12,1000,0,1e-06,8,0.005,5e-05,5e-07,0.8,0.1,0.1,41.05,0.57761
133,12,1000,0,1e-06,9,0.005,5e-05,5e-07,0.5,0.25,0.25,105.25,-0.28134
134,12,1000,0,1e-06,9,0.005,5e-05,5e-07,0.6,0.2,0.2,120.75,0.13905
135,12,1000,0,1e-06,9,0.005,5e-05,5e-07,0.7,0.15,0.15,108.97,-0.070571
136,12,1000,0,1e-06,9,0.005,5e-05,5e-07,0.8,0.1,0.1,58.141,0.3769
137,12,1000,0,1e-06,10,0.005,5e-05,5e-07,0.5,0.25,0.25,88.726,-0.18262
138,12,1000,0,1e-06,10,0.005,5e-05,5e-07,0.6,0.2,0.2,68.973,0.33175
139,12,1000,0,1e-06,10,0.005,5e-05,5e-07,0.7,0.15,0.15,108.31,0.0159
140,12,1000,0,1e-06,10,0.005,5e-05,5e-07,0.8,0.1,0.1,53.34,0.46668
141,13,1000,0,1e-06,4,0.005,5e-05,5e-07,0.5,0.25,0.25,90.584,-0.21756
142,13,1000,0,1e-06,4,0.005,5e-05,5e-07,0.6,0.2,0.2,67.79,-0.045202
143,13,1000,0,1e-06,4,0.005,5e-05,5e-07,0.7,0.15,0.15,76.451,0.24965
144,13,1000,0,1e-06,4,0.005,5e-05,5e-07,0.8,0.1,0.1,84.143,0.19661
145,13,1000,0,1e-06,5,0.005,5e-05,5e-07,0.5,0.25,0.25,97.244,0.31853
146,13,1000,0,1e-06,5,0.005,5e-05,5e-07,0.6,0.2,0.2,348.29,-0.32236
147,13,1000,0,1e-06,5,0.005,5e-05,5e-07,0.7,0.15,0.15,168.77,-0.31124
148,13,1000,0,1e-06,5,0.005,5e-05,5e-07,0.8,0.1,0.1,45.717,0.56005
149,13,1000,0,1e-06,6,0.005,5e-05,5e-07,0.5,0.25,0.25,79.418,-0.13956
150,13,1000,0,1e-06,6,0.005,5e-05,5e-07,0.6,0.2,0.2,72.395,0.1355
151,13,1000,0,1e-06,6,0.005,5e-05,5e-07,0.7,0.15,0.15,71.106,-0.33105
152,13,1000,0,1e-06,6,0.005,5e-05,5e-07,0.8,0.1,0.1,194.97,-0.41585
153,13,1000,0,1e-06,7,0.005,5e-05,5e-07,0.5,0.25,0.25,84.123,-0.048788
154,13,1000,0,1e-06,7,0.005,5e-05,5e-07,0.6,0.2,0.2,67.259,0.63165
155,13,1000,0,1e-06,7,0.005,5e-05,5e-07,0.7,0.15,0.15,178.58,-0.21559
156,13,1000,0,1e-06,7,0.005,5e-05,5e-07,0.8,0.1,0.1,32.309,0.73865
157,13,1000,0,1e-06,8,0.005,5e-05,5e-07,0.5,0.25,0.25,161.13,-0.19403
158,13,1000,0,1e-06,8,0.005,5e-05,5e-07,0.6,0.2,0.2,198.95,-0.15309
159,13,1000,0,1e-06,8,0.005,5e-05,5e-07,0.7,0.15,0.15,90.705,0.064721
